,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,Date,Ticker,Return
1813,-10.7085705,-10.735062,-11.395574,-11.40789,-10.806743,-10.753312,-11.326569,-11.70967,-9.793297,-10.058011,2023-03-31,AAPL,0.0155231375
1814,-10.602649,-10.517722,-11.058133,-11.608144,-10.610583,-10.712357,-10.933309,-11.898548,-9.039873,-9.466315,2023-04-03,AAPL,0.007672131
1815,-10.189683,-10.310188,-10.618406,-11.243334,-9.950579,-10.2733345,-10.2973385,-11.178071,-7.921086,-7.04471,2023-04-04,AAPL,-0.0032549757
1816,-10.315874,-10.303809,-10.998493,-11.019655,-10.304379,-10.1534395,-11.212572,-10.820636,-8.974497,-9.664194,2023-04-05,AAPL,-0.011354444
1817,-10.215237,-10.268968,-10.954136,-10.864629,-10.1776905,-10.114869,-11.0494175,-10.719363,-8.983328,-9.476799,2023-04-06,AAPL,0.0054808003
1818,-10.338363,-10.401109,-10.862075,-11.235621,-10.506202,-10.460313,-10.87468,-11.683154,-8.981006,-9.913514,2023-04-10,AAPL,-0.01610124
1819,-10.227229,-10.402389,-10.90799,-10.932912,-10.312303,-10.231396,-11.029523,-10.981936,-8.519652,-9.239317,2023-04-11,AAPL,-0.0076201465
1820,-10.527622,-10.590112,-11.409434,-11.062107,-10.689817,-10.520809,-11.646374,-11.174665,-9.412259,-10.246276,2023-04-12,AAPL,-0.004362737
1821,-9.79572,-9.851046,-10.601003,-10.388043,-9.87309,-9.79401,-10.878303,-10.328741,-8.059586,-8.5591,2023-04-13,AAPL,0.03353505
1822,-10.261744,-10.249077,-10.741569,-11.226407,-10.39646,-10.425141,-10.602155,-12.078887,-8.802302,-9.209777,2023-04-14,AAPL,-0.002116275
1823,-10.034754,-10.0903225,-10.689128,-10.768232,-9.976371,-9.849505,-10.701165,-10.638836,-8.532363,-8.413547,2023-04-17,AAPL,0.000121050725
1824,-10.445721,-10.631093,-11.315377,-10.988883,-11.055227,-11.069649,-11.886233,-11.627227,-8.737032,-10.773908,2023-04-18,AAPL,0.00747667
1825,-10.146564,-10.105287,-10.783092,-10.899723,-10.298575,-10.568837,-10.824518,-11.192602,-8.766192,-8.349722,2023-04-19,AAPL,0.0069440566
1826,-10.528944,-10.608048,-11.099643,-11.361643,-10.755944,-10.943355,-11.091988,-12.009765,-9.480065,-10.133413,2023-04-20,AAPL,-0.005863365
1827,-10.292031,-10.275227,-10.889716,-11.090717,-10.128753,-10.484296,-10.565686,-11.167245,-9.033992,-8.499663,2023-04-21,AAPL,-0.009829126
1828,-10.160492,-10.294987,-10.827784,-10.880175,-10.402609,-10.441138,-11.050614,-11.143025,-8.210848,-9.57623,2023-04-24,AAPL,0.0018767979
1829,-10.482575,-10.576942,-11.1543045,-11.197601,-10.610786,-10.521065,-11.431226,-11.191023,-9.270174,-9.602288,2023-04-25,AAPL,-0.009480472
1830,-10.086978,-10.008336,-10.81921,-10.742505,-10.167168,-10.221922,-10.848244,-10.872528,-8.284191,-8.763633,2023-04-26,AAPL,-6.10631e-05
1831,-9.959552,-9.997846,-10.488946,-10.848614,-10.142775,-10.177258,-10.669347,-11.035893,-7.2981358,-9.152035,2023-04-27,AAPL,0.02799954
1832,-10.31661,-10.475619,-10.753558,-11.355074,-10.466483,-10.635123,-10.819955,-11.67796,-7.525224,-9.3963995,2023-04-28,AAPL,0.007512828
1833,-10.132197,-10.130673,-10.834767,-10.816006,-10.140989,-9.970536,-10.894195,-10.777477,-8.536934,-8.940623,2023-05-01,AAPL,-0.0005305509
1834,-10.153251,-10.226011,-10.770878,-10.928084,-10.561347,-10.972393,-11.236977,-11.272317,-8.212835,-9.416059,2023-05-02,AAPL,-0.006210649
1835,-10.226172,-10.2195215,-11.135566,-10.741618,-10.433776,-10.3863945,-11.684278,-10.77115,-9.000174,-9.637663,2023-05-03,AAPL,-0.006488311
1836,-9.488836,-9.385813,-10.315357,-10.064321,-9.95742,-10.31922,-10.937144,-10.428084,-7.3470836,-8.208413,2023-05-04,AAPL,-0.009962872
1837,-9.522726,-9.471294,-10.112557,-10.331102,-9.849749,-9.838048,-10.529225,-10.556752,-7.3580213,-8.569576,2023-05-05,AAPL,0.04585905
1838,-9.647706,-9.767815,-10.132977,-10.603594,-9.409355,-9.371857,-9.716064,-10.7406435,-6.57259,-6.312846,2023-05-08,AAPL,-0.00040337685
1839,-10.008491,-10.0301895,-10.667178,-10.737324,-10.202333,-10.120333,-10.825475,-10.970753,-7.6430936,-8.558808,2023-05-09,AAPL,-0.0100212265
1840,-10.573362,-10.502064,-11.443546,-11.116143,-11.213082,-11.221298,-12.228805,-11.662708,-8.575974,-11.376,2023-05-10,AAPL,0.01033818
1841,-10.106577,-10.110996,-10.8022,-10.79725,-9.907462,-9.997267,-10.484697,-10.731735,-8.339092,-8.280164,2023-05-11,AAPL,0.0011229324
1842,-10.426088,-10.415763,-11.182629,-11.059616,-10.168261,-10.052643,-11.129374,-10.650279,-9.30936,-8.876091,2023-05-12,AAPL,-0.0054247594
1843,-10.569224,-10.569127,-11.386532,-11.151932,-10.705947,-10.717027,-11.620066,-11.218215,-9.980425,-10.126854,2023-05-15,AAPL,-0.0029015804
1844,-10.872086,-10.888678,-11.8262005,-11.3584585,-11.174388,-11.198321,-12.102545,-11.677368,-10.124162,-11.11363,2023-05-16,AAPL,0.0
1845,-10.775444,-10.783056,-11.476921,-11.46032,-10.886878,-10.878018,-11.5111885,-11.653942,-10.199619,-10.531345,2023-05-17,AAPL,0.0035967089
1846,-10.381431,-10.398262,-11.136279,-11.016458,-10.5126705,-10.464741,-11.146589,-11.268768,-9.173266,-9.92477,2023-05-18,AAPL,0.013573567
