,feat_0,feat_1,Date,Symbol,Return
3116,-9.147891,-8.43498,2017-07-03,AAPL,-0.0036171437
3117,-8.843431,-8.374681,2017-07-05,AAPL,0.004103069
3118,-9.087747,-8.422452,2017-07-06,AAPL,-0.009483371
3119,-8.900231,-8.359063,2017-07-07,AAPL,0.010107785
3120,-9.2283745,-8.480467,2017-07-10,AAPL,0.006084931
3121,-9.023268,-8.465305,2017-07-11,AAPL,0.0032348009
3122,-9.165553,-8.514517,2017-07-12,AAPL,0.0014419613
3123,-9.246124,-8.533737,2017-07-13,AAPL,0.013832798
3124,-9.06653,-8.549337,2017-07-14,AAPL,0.008557715
3125,-9.12024,-8.574023,2017-07-17,AAPL,0.0034829238
3126,-8.830156,-8.418971,2017-07-18,AAPL,0.003470835
3127,-8.915829,-8.396033,2017-07-19,AAPL,0.0062437933
3128,-8.7567215,-8.444838,2017-07-20,AAPL,-0.004512883
3129,-8.598182,-8.441146,2017-07-21,AAPL,-0.0004657197
3130,-8.506615,-8.46965,2017-07-24,AAPL,0.012038775
3131,-8.031278,-8.419565,2017-07-25,AAPL,0.004264679
3132,-7.9920483,-8.447761,2017-07-26,AAPL,0.004702817
3133,-7.978324,-8.501481,2017-07-27,AAPL,-0.019078271
3134,-7.739072,-8.357993,2017-07-28,AAPL,-0.007065283
3135,-7.782465,-8.397627,2017-07-31,AAPL,-0.005163811
3136,-7.856691,-8.410761,2017-08-01,AAPL,0.00883599
3137,-7.859125,-8.415666,2017-08-02,AAPL,0.046168555
3138,-8.859541,-8.622261,2017-08-03,AAPL,-0.0100413365
3139,-8.932973,-8.656924,2017-08-04,AAPL,0.005257096
3140,-9.121445,-8.7470045,2017-08-07,AAPL,0.015355632
3141,-8.941326,-8.797504,2017-08-08,AAPL,0.007965171
3142,-8.826201,-8.69395,2017-08-09,AAPL,0.0061032763
3143,-8.741615,-8.696579,2017-08-10,AAPL,-0.032241523
3144,-8.241425,-8.385162,2017-08-11,AAPL,0.0138109615
3145,-8.478893,-8.489321,2017-08-14,AAPL,0.014937409
3146,-8.689283,-8.670343,2017-08-15,AAPL,0.010888271
3147,-8.741915,-8.661419,2017-08-16,AAPL,-0.0040303883
3148,-8.8523655,-8.750706,2017-08-17,AAPL,-0.019385193
3149,-8.448449,-8.424151,2017-08-18,AAPL,-0.002283106
3150,-8.575949,-8.357418,2017-08-21,AAPL,-0.0018429671
3151,-8.535444,-8.402836,2017-08-22,AAPL,0.016215378
3152,-8.62762,-8.400818,2017-08-23,AAPL,0.0012509384
3153,-8.767193,-8.431563,2017-08-24,AAPL,-0.0044479324
3154,-8.645778,-8.353392,2017-08-25,AAPL,0.003697557
3155,-8.915394,-8.435836,2017-08-28,AAPL,0.010020935
3156,-8.969608,-8.452585,2017-08-29,AAPL,0.008878534
3157,-8.857956,-8.465392,2017-08-30,AAPL,0.002697237
3158,-8.770426,-8.464004,2017-08-31,AAPL,0.00397129
3159,-8.798325,-8.515318,2017-09-01,AAPL,0.00030483157
3160,-8.787282,-8.423132,2017-09-05,AAPL,-0.012081219
3161,-8.231592,-8.377421,2017-09-06,AAPL,-0.0010494152
3162,-8.232674,-8.4142275,2017-09-07,AAPL,-0.004022656
3163,-8.192132,-8.44931,2017-09-08,AAPL,-0.016443523
3164,-8.105297,-8.425854,2017-09-11,AAPL,0.017930696
3165,-8.032396,-8.472349,2017-09-12,AAPL,-0.0039707213
3166,-8.360545,-8.612333,2017-09-13,AAPL,-0.007550502
3167,-8.634976,-8.747805,2017-09-14,AAPL,-0.008618303
3168,-8.708699,-8.785752,2017-09-15,AAPL,0.010057917
3169,-8.778126,-8.801198,2017-09-18,AAPL,-0.0075969603
3170,-8.781376,-8.840497,2017-09-19,AAPL,0.00037807185
3171,-8.842278,-8.8899,2017-09-20,AAPL,-0.016900022
3172,-8.784429,-8.797094,2017-09-21,AAPL,-0.017320927
3173,-8.808089,-8.805,2017-09-22,AAPL,-0.009827123
3174,-8.720302,-8.366816,2017-09-25,AAPL,-0.00886132
3175,-8.534366,-8.225654,2017-09-26,AAPL,0.017057281
3176,-8.685501,-8.276185,2017-09-27,AAPL,0.007092459
3177,-8.816763,-8.311721,2017-09-28,AAPL,-0.0061786803
3178,-8.878235,-8.346427,2017-09-29,AAPL,0.0054652058
3179,-9.110628,-8.455002,2017-10-02,AAPL,-0.0020134454
3180,-8.881653,-8.337124,2017-10-03,AAPL,0.0043465635
3181,-9.011827,-8.314536,2017-10-04,AAPL,-0.0064943726
3182,-9.001132,-8.346182,2017-10-05,AAPL,0.01236782
3183,-9.086562,-8.338916,2017-10-06,AAPL,-0.00057935563
3184,-9.255123,-8.382162,2017-10-09,AAPL,0.0034711098
3185,-9.235379,-8.429431,2017-10-10,AAPL,0.00038493617
3186,-9.141429,-8.388333,2017-10-11,AAPL,0.0041606715
3187,-9.151924,-8.436777,2017-10-12,AAPL,-0.0035194405
3188,-9.171475,-8.43293,2017-10-13,AAPL,0.0063261017
3189,-9.260283,-8.473656,2017-10-16,AAPL,0.018241424
3190,-9.0196,-8.408144,2017-10-17,AAPL,0.0036834753
3191,-9.141794,-8.439089,2017-10-18,AAPL,-0.00443432
3192,-8.789118,-8.459497,2017-10-19,AAPL,-0.023944896
3193,-8.311882,-8.270035,2017-10-20,AAPL,0.0017294947
3194,-8.289496,-8.314134,2017-10-23,AAPL,-0.00051213114
3195,-7.755744,-8.385078,2017-10-24,AAPL,0.0059373877
3196,-7.729856,-8.433101,2017-10-25,AAPL,-0.0044017807
3197,-7.753128,-8.423897,2017-10-26,AAPL,0.006373102
3198,-7.715306,-8.413297,2017-10-27,AAPL,0.035203036
3199,-7.6101346,-8.348309,2017-10-30,AAPL,0.022258855
3200,-7.4809794,-8.238865,2017-10-31,AAPL,0.013819614
3201,-7.4189124,-8.176518,2017-11-01,AAPL,-0.012800461
3202,-7.366365,-8.184197,2017-11-02,AAPL,0.0072836145
3203,-7.5030165,-8.300578,2017-11-03,AAPL,0.025778709
3204,-8.770527,-8.68308,2017-11-06,AAPL,0.010093813
3205,-8.842802,-8.812525,2017-11-07,AAPL,0.0032086202
3206,-8.8359995,-8.796275,2017-11-08,AAPL,0.008147033
3207,-9.08124,-8.889579,2017-11-09,AAPL,-0.0020447583
3208,-9.046813,-8.907907,2017-11-10,AAPL,-0.0033031523
3209,-9.112067,-8.8736515,2017-11-13,AAPL,-0.0040156087
3210,-9.032238,-8.861444,2017-11-14,AAPL,-0.015232984
3211,-8.905958,-8.825682,2017-11-15,AAPL,-0.013277911
3212,-8.742613,-8.689575,2017-11-16,AAPL,0.011876205
3213,-9.14289,-8.711249,2017-11-17,AAPL,-0.0055677798
3214,-9.24497,-8.696189,2017-11-20,AAPL,-0.0009996179
3215,-9.205747,-8.766184,2017-11-21,AAPL,0.018419733
3216,-9.319938,-8.901094,2017-11-22,AAPL,0.010456861
3217,-9.482331,-8.950709,2017-11-24,AAPL,5.7154288e-05
3218,-9.452247,-8.949492,2017-11-27,AAPL,-0.0050421236
3219,-9.2230425,-8.930233,2017-11-28,AAPL,-0.00587627
3220,-9.067938,-8.8824005,2017-11-29,AAPL,-0.020961212
3221,-8.605897,-8.662856,2017-11-30,AAPL,0.013887078
3222,-8.868653,-8.853524,2017-12-01,AAPL,-0.004666092
3223,-8.7937155,-8.795865,2017-12-04,AAPL,-0.0073346375
3224,-8.361534,-8.546986,2017-12-05,AAPL,-0.0009427293
3225,-8.670248,-8.680178,2017-12-06,AAPL,-0.0037206598
3226,-8.658932,-8.699699,2017-12-07,AAPL,0.0018325308
3227,-8.850891,-8.761548,2017-12-08,AAPL,0.00029525525
3228,-8.943419,-8.778227,2017-12-11,AAPL,0.019296588
3229,-9.023727,-8.901742,2017-12-12,AAPL,-0.0056334906
3230,-9.002607,-8.934509,2017-12-13,AAPL,0.0033142455
3231,-9.050531,-8.96905,2017-12-14,AAPL,-0.0002902842
3232,-9.143865,-9.004993,2017-12-15,AAPL,0.010110142
3233,-9.153761,-9.018455,2017-12-18,AAPL,0.013984646
3234,-9.099035,-9.031431,2017-12-19,AAPL,-0.0107135745
3235,-9.086444,-8.95082,2017-12-20,AAPL,-0.0010891686
3236,-9.22685,-8.439517,2017-12-21,AAPL,0.003778342
3237,-9.5744915,-8.480555,2017-12-22,AAPL,0.0
3238,-9.554339,-8.488178,2017-12-26,AAPL,-0.025697345
3239,-9.02545,-8.353884,2017-12-27,AAPL,0.00017586541
3240,-9.076521,-8.346672,2017-12-28,AAPL,0.0028096484
3241,-9.149723,-8.416259,2017-12-29,AAPL,-0.010872547
3242,-9.087273,-8.361864,2018-01-02,AAPL,0.017746227
3243,-9.24497,-8.391594,2018-01-03,AAPL,-0.00017417052
3244,-9.169499,-8.396704,2018-01-04,AAPL,0.004634197
3245,-9.352271,-8.450603,2018-01-05,AAPL,0.011320984
3246,-9.334497,-8.446041,2018-01-08,AAPL,-0.0037212009
3247,-9.313693,-8.413212,2018-01-09,AAPL,-0.00011471837
3248,-9.357689,-8.441403,2018-01-10,AAPL,-0.00022947622
3249,-9.354301,-8.414058,2018-01-11,AAPL,0.0056641167
3250,-9.43244,-8.501746,2018-01-12,AAPL,0.010273383
3251,-9.229519,-8.451292,2018-01-16,AAPL,-0.0050951196
3252,-8.826201,-8.252554,2018-01-17,AAPL,0.016381351
3253,-8.4569025,-8.162966,2018-01-18,AAPL,0.00089295686
3254,-8.217585,-8.151951,2018-01-19,AAPL,-0.0044727796
3255,-8.17697,-8.233601,2018-01-22,AAPL,-0.008214754
3256,-7.7646523,-8.445009,2018-01-23,AAPL,0.00022596317
3257,-7.617393,-8.389754,2018-01-24,AAPL,-0.016056828
3258,-7.5612645,-8.302498,2018-01-25,AAPL,-0.018012244
3259,-7.513452,-8.227657,2018-01-26,AAPL,0.0023349493
3260,-7.5401645,-8.220809,2018-01-29,AAPL,-0.020915719
3261,-7.132676,-7.92124,2018-01-30,AAPL,-0.0059117004
3262,-7.123735,-7.9451227,2018-01-31,AAPL,0.002751198
3263,-7.164765,-7.933711,2018-02-01,AAPL,0.0020882438
3264,-7.2921934,-8.118245,2018-02-02,AAPL,-0.044359654
3265,-8.12102,-8.254194,2018-02-05,AAPL,-0.025301833
3266,-7.332726,-7.8402386,2018-02-06,AAPL,0.04094212
3267,-7.939509,-8.100662,2018-02-07,AAPL,-0.021639558
3268,-7.9771676,-8.134365,2018-02-08,AAPL,-0.027902283
3269,-7.5661864,-7.851894,2018-02-09,AAPL,0.012108159
3270,-7.857908,-7.9894466,2018-02-12,AAPL,0.03948871
3271,-8.128415,-8.274921,2018-02-13,AAPL,0.009967977
3272,-8.314456,-8.352653,2018-02-14,AAPL,0.018269477
3273,-8.554414,-8.540756,2018-02-15,AAPL,0.03302686
3274,-8.524149,-8.531044,2018-02-16,AAPL,-0.0032424324
3275,-8.582658,-8.584223,2018-02-20,AAPL,-0.0033693537
3276,-8.471565,-8.5873575,2018-02-21,AAPL,-0.0045491736
3277,-8.515852,-8.62602,2018-02-22,AAPL,0.008324407
3278,-8.632994,-8.662089,2018-02-23,AAPL,0.017241806
3279,-8.884862,-8.825474,2018-02-26,AAPL,0.019579152
3280,-8.772551,-8.775083,2018-02-27,AAPL,-0.0032460294
3281,-8.523344,-8.630634,2018-02-28,AAPL,-0.0015146843
3282,-8.418038,-8.537873,2018-03-01,AAPL,-0.017671507
3283,-8.192814,-8.397711,2018-03-02,AAPL,0.0068904916
3284,-8.511228,-8.49689,2018-03-05,AAPL,0.0034558005
3285,-8.590775,-8.566156,2018-03-06,AAPL,-0.0008486804
3286,-8.61804,-8.594197,2018-03-07,AAPL,-0.009326198
